showId,category,title,tags,age_rating,rating_description,description,representation,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large,image
13,CBBC,The Demon Headmaster - Series 1: 5. Be More Hazelbrook,"BBC, iPlayer, TV, The Demon Headmaster, Series 1: 5. Be More Hazelbrook",PG,mild threat,The gang bring in a journalist to expose Hazelbrook. Can they get the truth out there?,3.0,27 mins,1597,5pm 11 Nov 2019,The gang bring in a journalist to expose Hazelbrook. Can they get the truth out there?,"With the Headmaster away, the gang plan to replace him with someone who will free Hazelbrook - but their actions trigger unexpected consequences.","Lizzie is burdened by the secret of Ethan’s past, but should she tell him? While Lizzie struggles with her moral dilemma, the rest of the gang get excited at a huge opportunity - the Headmaster is leaving the school premises to tour the schools he intends to hoodwink into joining the Hazelbrook Academy chain. With the Headmaster away, the gang will play - but how?",https://ichef.bbci.co.uk/images/ic/1200x675/p07td626.jpg
14,CBBC,Operation Ouch! - Series 7: 4. Don’t Pick Your Scabs!,"BBC, iPlayer, TV, Operation Ouch!, Series 7: 4. Don’t Pick Your Scabs!",PG,"injury detail, rude humour, threat","Dr Xand goes underwater to show how your blood clots, and Dr Ronx looks at echolocation.",3.0,28 mins,1667,16 Jan 2019,"Dr Xand goes underwater to show how your blood clots, and Dr Ronx looks at echolocation.","Dr Xand goes underwater to show how your blood clots, and Dr Ronx finds out how echolocation – a navigation technique used by bats – is helping visually impaired patients.","Dr Xand goes underwater to show how your blood clots, and Dr Ronx finds out how echolocation – an amazing navigation technique used by bats to fly in the dark – is helping visually impaired patients. There’s a new body trick to make things look bigger, and it’s time to meet our first ever Ouch Award nominees. Meanwhile, in the emergency department, a broken leg requires surgery after a clash with a diving board and another patient has their finger stuck in a toy truck.",https://ichef.bbci.co.uk/images/ic/1200x675/p06y4822.jpg
15,CBBC,Horrible Histories - Series 9: 4. Precious Planet,"BBC, iPlayer, TV, Horrible Histories, Series 9: 4. Precious Planet",PG,mild injury detail,Charles Darwin hosts a look at how we’ve treated the planet throughout history. ,3.0,29 mins,1739,1 Nov 2021,Charles Darwin hosts a look at how we’ve treated the planet throughout history.,"Charles Darwin hosts a timely look at how we’ve treated the planet throughout history. With Henry VIII, the inventor of the plastic bag and Judge Rinder!","Charles Darwin presents a special show, as Horrible Histories takes a timely look at our planet and how we’ve behaved towards it throughout history.We look at how we’ve not always treated the planet's resources with the utmost care, from the 19th-century gold rush, to Henry VIII enjoying a little too much deforestation to build his warships In The Gone Show, we meet a range of animals that have recently become extinct, and we see how mankind has tried to work with and shape the land, from the earliest guides to farming to the fabulous Gardens of Versailles In Historical Educating, head teacher Mrs Thomas has trouble with her geography supply teachers (a Greek philosopher and a Viking), who seem intent on telling their pupils that the Earth is not round. We reveal that plastic bags were originally invented to save the planet, and in Time Beefs, Judge Rinder settles a dispute between environmentalist Rachel Carson and the businessmen who tried to stop her.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b11pzp.jpg
17,CBBC,Malory Towers - Series 2: 13. The Lost Treasure,"BBC, iPlayer, TV, Malory Towers, Series 2: 13. The Lost Treasure",U,clean,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?",3.0,25 mins,1495,22 Nov 2021,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?","It’s the last day of school, and Miss Grayling is to sign away Malory Towers for ever! Will Darrell and Sally’s dramatic discovery save the school?",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p0b4k3ry.jpg
18,CBBC,Pokémon: Diamond and Pearl - Series 12 - Galactic Battles: 15. Trials and Adulations!,"BBC, iPlayer, TV, Pokémon: Diamond and Pearl, Series 12 - Galactic Battles: 15. Trials and Adulations!",U,clean,A fierce Aggron provides Dawn and Mamoswine with a chance to learn and grow together.,,20 mins,1223,22 Oct 2021,A fierce Aggron provides Dawn and Mamoswine with a chance to learn and grow together.,"Dawn and Piplup get separated from Ash and Brock, as a fierce Aggron angrily chases them while Dawn goes for some water.","Making their way through a giant forest on the way to Snowpoint City, Dawn and Piplup get separated from Ash and Brock, as a fierce Aggron angrily chases them while Dawn goes for some water. Her other Pokémon can’t stand up to this menace, so she reluctantly calls out Mamoswine… who won’t listen to her commands.",https://ichef.bbci.co.uk/images/ic/1200x675/p09z7pbh.jpg
19,CBBC,Eve - Series 3: 4. Possession,"BBC, iPlayer, TV, Eve, Series 3: 4. Possession",PG,mild threat,Mary resorts to extreme measures to head off the threat of Cain and Price.,3.0,28 mins,1690,4:30pm 9 Nov 2016,Mary resorts to extreme measures to head off the threat of Cain and Price.,"Sci-fi drama series. Mary resorts to extreme measures to head off the threat of Cain and Price, enlisting KT to help her temporarily transfer her consciousness to Eve.","Mary resorts to extreme measures to head off the threat of Cain and Price, enlisting KT to help her temporarily transfer her consciousness to Eve. With KT missing, a distracted Nick and Katherine welcome back Zac, who is helping them answer questions about how Mary was able to duplicate his personality. Excited about Zac's return, Eve suggests he join the gang's picnic that afternoon. To everyone's surprise Zac brings his new girlfriend, and for the first time Eve experiences jealousy. Spotting KT hovering nearby puts Eve on high alert. Operating under Protocol Zero, KT is Mary's automaton, and is primed to execute her mother's plan.",https://ichef.bbci.co.uk/images/ic/1200x675/p04dy4gz.jpg
20,CBBC,Shaun the Sheep - Series 5: 20. Sheep Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 5: 20. Sheep Farmer",U,clean,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,,7 mins,420,3:50pm 18 Nov 2016,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,"Animated Series. When Timmy sees a farmer giving one of the flock a hard time, he decides to show him what it's like to be a sheep.","When Timmy sees a particularly grumpy farmer giving one of the flock a hard time, he decides to give him an idea of what it's like to be a sheep. But when the time comes to have the old farmer back, things aren't quite so simple.",https://ichef.bbci.co.uk/images/ic/1200x675/p0723hjb.jpg
21,CBBC,Boy Girl Dog Cat Mouse Cheese - Series 1: 36. Family Photo,"BBC, iPlayer, TV, Boy Girl Dog Cat Mouse Cheese, Series 1: 36. Family Photo",U,clean,The kids accidentally destroy a beloved family photo.,,11 mins,661,7:35am 25 Jun 2020,The kids accidentally destroy a beloved family photo.,The kids accidentally destroy a beloved family photo and decide to make it up to Mom and Dad by hiring a photographer to take a new one.,No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p08h49b6.jpg
22,CBBC,Wizards vs Aliens - Series 2: 8. The Curse of Crowe Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 2: 8. The Curse of Crowe Part Two",PG,contains mild fantasy violence and threat,Tom and Benny suffer from Gemma Ravens curse.,3.0,28 mins,1706,5pm 19 Nov 2013,Tom and Benny suffer from Gemma Raven's curse.,"Fantasy adventure drama. Tom and Benny suffer from Gemma Raven's curse - they hate each other, without knowing why.","Tom and Benny suffer from Gemma Raven's curse - they hate each other, without knowing why. But can friendship overcome the darkest powers of magic?",https://ichef.bbci.co.uk/images/ic/1200x675/p01lty4k.jpg
23,CBBC,Danger Mouse - Series 1: 24. Escape from Big Head,"BBC, iPlayer, TV, Danger Mouse, Series 1: 24. Escape from Big Head",U,very mild fantasy action,The Big Head base computer locks up everyone in a maximum security prison.,,11 mins,664,7:25am 24 Feb 2016,The Big Head base computer locks up everyone in a maximum security prison.,"Animated series. Squawkencluck reboots the Big Head base computer, which immediately locks up everyone in a maximum security prison.","Squawkencluck reboots the now 100 per cent reliable Big Head base computer, which immediately locks up everyone in a maximum security prison.",https://ichef.bbci.co.uk/images/ic/1200x675/p03jvhpy.jpg
24,CBBC,Horrible Histories - Series 7: 8. Ruthless Rulers,"BBC, iPlayer, TV, Horrible Histories, Series 7: 8. Ruthless Rulers",PG,"mild comic violence, rude humor",A look at the most ruthless rulers of all time. Featuring Henry VIII and the Vikings.,3.0,28 mins,1690,5:25pm 4 Sep 2017,A look at the most ruthless rulers of all time. Featuring Henry VIII and the Vikings.,"A look at the most ruthless rulers of all time. Hold your nose in Versailles, because Louis XIV hasn't got any loos.","Get ready for some serious bad behaviour, as Horrible Histories brings you the most ruthless rulers of all time. Henry VIII is so demanding he has a brick wall built at his bedroom door every night, those vicious Vikings find that sorry seems to be the hardest word, hold your nose in Versailles because Louis XIV hasn't got any loos, and rock out with the Warlords from Hell - take it away Genghis and Vlad.",https://ichef.bbci.co.uk/images/ic/1200x675/p09xsqbf.jpg
25,CBBC,Danger Mouse - Series 1: 5. Pink Dawn,"BBC, iPlayer, TV, Danger Mouse, Series 1: 5. Pink Dawn",U,very mild fantasy action,Supervillain the Princess is determined to pinkify the world.,,11 mins,666,2 Oct 2015,Supervillain the Princess is determined to pinkify the world.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us!,https://ichef.bbci.co.uk/images/ic/1200x675/p033cvzh.jpg
30,Films,Bill,"BBC, iPlayer, TV, Bill",PG,"mild bad language, sex references, violence",Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.,3.0,87 mins,5230,2015,Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.,"Family comedy from the performers of Horrible Histories. Young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London.","1593. While King Philip of Spain plots to kill Queen Elizabeth of England, young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London - despite the theatres being closed due to plague. Luckily the Queen desires a new play - unluckily she chooses creepy Lord Crawley to write it.",https://ichef.bbci.co.uk/images/ic/1200x675/p07j6wv1.jpg
38,Films,A Lonely Place to Die,"BBC, iPlayer, TV, A Lonely Place to Die",15,"contains strong language, bloody violence",A group of mountaineers discover a Serbian girl held captive in the Scottish Highlands.,3.0,95 mins,5708,10pm 23 Jan 2021,A group of mountaineers discover a Serbian girl held captive in the Scottish Highlands.,A group of five mountaineers are hiking and climbing in the Scottish Highlands when they discover a young Serbian girl buried in a small chamber in the wilderness.,A group of five mountaineers are hiking and climbing in the Scottish Highlands when they discover a young Serbian girl buried in a small chamber in the wilderness.They become caught up in a terrifying game of cat and mouse with the kidnappers as they try to get the girl to safety.,https://ichef.bbci.co.uk/images/ic/1200x675/p094bkdv.jpg
40,Films,Blind Ambition,"BBC, iPlayer, TV, Blind Ambition",12,"infrequent strong language, brief real violence",Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.,2.0,59 mins,3549,10pm 1 Aug 2021,Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.,TV director Jamie O’Leary faces eye surgery that could lead to sight loss. He goes on a journey with blind comedian Jamie MacDonald to see how blind artists achieve their vision.,"Jamie O’Leary has terrible sight, and is now facing eye surgery that could potentially lead to sight loss. A television director for almost 20 years, Jamie has produced groundbreaking programmes that take a fresh look at disability, as well as making popular travelogue shows with some of the UK’s funniest talent, including Karl Pilkington, Romesh Ranganathan and Katherine Ryan.At this pivotal point in his life, O’Leary wants to explore how people cope with sight loss and how blind artists achieve their creative vision of a world they see from a unique perspective. So he has hooked up with blind observational comedian Jamie MacDonald to bring light and shade to facing the condition. Together, they’re on a blind-leading-the-nearly-blind mission to uncover and collaborate with the best blind creative talent.",https://ichef.bbci.co.uk/images/ic/1200x675/p09qk3vf.jpg
46,Films,Versus - The Life and Films of Ken Loach,"BBC, iPlayer, TV, Versus - The Life and Films of Ken Loach",12,infrequent strong language,"Ken Loach reflects on his career, with comments from colleagues, friends and family.",1.0,90 mins,5371,2015,"Ken Loach reflects on his career, with comments from colleagues, friends and family.","Biographical documentary. Ken Loach reflects on his often controversial career, with comments from colleagues, friends and family.","Ken Loach, who has been making socially aware dramas and documentaries for over 50 years, reflects on his often controversial career, with comments from colleagues, friends and family. Successes like Cathy Come Home, Kes and Palm d'Or winning The Wind that Shakes the Barley are matched by tales of projects shelved or pilloried, a stage play cancelled during rehearsals, and a personal tragedy.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b5vn0y.jpg
52,Films,Tycoon,"BBC, iPlayer, TV, Tycoon",U,mild violence,Romantic melodrama about an engineer battling to build a railroad and save his marriage.,1.0,123 mins,7374,1947,Romantic melodrama about an engineer battling to build a railroad and save his marriage.,"Romantic melodrama about an engineer, played by John Wayne, battling to build a railroad in the Andes while trying to save his marriage to the boss's daughter.","Romantic melodrama about an engineer battling to build a railroad in the Andes while trying to save his marriage to the boss's daughter. After wedding his bride against her father's wishes, he then jeopardises his marriage and the railroad enterprise by single-mindedly battling to get the extraordinary engineering project completed on time and within budget.",https://ichef.bbci.co.uk/images/ic/1200x675/p09jg9fd.jpg
67,Documentaries,Natural World - 2018-2019: 6. Humpback Whales: A Detective Story,"BBC, iPlayer, TV, Natural World, 2018-2019: 6. Humpback Whales: A Detective Story",U,clean,Documentary about our relationship with whales and their future alongside us.,,59 mins,3548,8 Feb 2019,Documentary about our relationship with whales and their future alongside us.,Nature documentary. Tom Mustill returns to California to find out whether the humpback whale that nearly killed him three years earlier was deliberately trying to hurt him.,"On 12 September 2015, a 30-ton humpback whale breached and landed on Tom Mustill and his friend Charlotte Kinloch as they paddled a sea kayak in Monterey Bay, California. Incredibly, both survived the incident, but the near-death experience haunted documentary maker Tom and left him wondering if the whale was deliberately trying to hurt them. To find the answer, Tom returned to California in 2018 to investigate. Tom meets those who have survived similar hair-raising encounters and the experts who know the whales best. What he discovers raises far bigger questions, not just about what happened that day but also about our relationship with whales and their future alongside us.",https://ichef.bbci.co.uk/images/ic/1200x675/p06zlc8r.jpg
74,Documentaries,A Perfect Planet - Series 1: 1. Volcano,"BBC, iPlayer, TV, A Perfect Planet, Series 1: 1. Volcano",U,clean,"A look at how without volcanoes, there would be no life on Earth.",,59 mins,3549,3 Jan 2021,"A look at how without volcanoes, there would be no life on Earth.","A look at how without volcanoes, there would be no life on Earth. Although destructive, magma from the planet’s molten core builds land, and mineral-rich ash from eruptions fertilises the surface.",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p09240nc.jpg
79,Documentaries,Big Cats - Series 1: Episode 1,"BBC, iPlayer, TV, Big Cats, Series 1: Episode 1",PG,scenes of animals hunting,"Meet the worlds ultimate cats, remarkable members of an incredible animal family.",,58 mins,3480,11 Jan 2018,"Meet the world's ultimate cats, remarkable members of an incredible animal family.","Documentary series uncovering the secret lives of cats. In Ruaha, Tanzania, lions form huge super prides in order to hunt giants.","In Ruaha, Tanzania, lions form huge super prides in order to hunt giants. Amongst cats lions are unusual, the only one to live in groups. In numbers they find the strength and audacity to hunt the most formidable prey.In Sri Lanka a tiny rusty-spotted cat explores his forest home - 200 times smaller than a lion, the rusty-spotted is the smallest of all cats, but just as curious.The Canada lynx lives further north than any cat, relying on snowshoe hares to survive the bitterly cold winters. Until now, lynx were creatures of mystery, but now technology provides an insightinto their secret lives.Predators they may be, but cats are also tender, intelligent and emotional. Honey is an African leopard and a mother. For a decade she's worn a radio collar that has allowed scientists to follow her life's every twist and turn. Now in the worst drought in decades, she's battling to raise a cub.In the Himalayas, perhaps the world's most lonesome cat is searching for a mate - a male snow leopard, who may get just one chance to mate in his whole life.Cats are naturally secretive, elusive and cryptic animals. Only now have the latest developments in filming technology, and a surge in cat research, enabled us to bring the cat superstars out of the shadows.",https://ichef.bbci.co.uk/images/ic/1200x675/p08jjf8p.jpg
82,Documentaries,Fraud Squad - Series 4: Episode 6,"BBC, iPlayer, TV, Fraud Squad, Series 4: Episode 6",12,"moderate bad language, sex references, threat, violence",A leading academic steals nearly £3 million of grants meant for environmental research.,3.0,44 mins,2618,10am 22 Feb 2022,A leading academic steals nearly £3 million of grants meant for environmental research.,"An academic steals millions meant for environmental research, a council fights back against fraudulent compensation claims, and a conman steals £10,000 meant for Covid-19 support.","A leading Cambridge academic steals nearly £3 million of government grants meant for environmental research, then smuggles bundles of cash out of the country inside empty chocolate boxes. A local council fights back against fraudulent compensation claims that could cripple its budget, and a fraudster abuses the Covid-19 support scheme to line their own pockets with £10,000, stolen from the public purse.",https://ichef.bbci.co.uk/images/ic/1200x675/p0bpmts3.jpg
85,Documentaries,The Mating Game - Series 1: 4. Freshwater: Timing Is Everything,"BBC, iPlayer, TV, The Mating Game, Series 1: 4. Freshwater: Timing Is Everything",PG,animals mating,The cycle of freshwater triggers spectacular mating rituals and fierce competition.,,58 mins,3476,8pm 24 Oct 2021,The cycle of freshwater triggers spectacular mating rituals and fierce competition.,"Freshwater is often the stage on which millions of animals gather to find a mate, and the cycle of freshwater is the trigger for spectacular mating rituals and fierce competition.","Freshwater covers only a tiny fraction of the earth’s surface, but it is a vital meeting place for many animals - the stage on which millions gather to find a mate. Yet with so little of it available, and often only briefly, the challenge for most individuals is how to overcome intense competition when your rivals are just as dependent on the precious freshwater for their success. Whether it is from melting ice, torrential rain or shrinking wetlands, the cycle of freshwater is the trigger for spectacular mating rituals and fierce combat.The start of the rains in South Africa triggers a violent battle between male giant African bullfrogs. Rare hooded grebes in Patagonia perform one of nature’s more comical dances to seduce their partner, and a male cichlid fish builds a home for his harem from old snail shells, but a sneaky dwarf has the last laugh there.The mating season for animals that live in freshwater is often determined by when is best for their new offspring - even if that moment is far from ideal for the parents. In the wetlands of Zambia, female lechwe antelope search for the strongest males while contending with drought, and in the Pantanal of Brazil at the end of the dry season, caimans congregate in huge numbers around the last remaining water to perform their spectacular displays.For all those dependent on the cycle of freshwater to breed, timing is everything.",https://ichef.bbci.co.uk/images/ic/1200x675/p09z41sr.jpg
91,From the Archives,Waterloo Road - Series 9: Episode 20,"BBC, iPlayer, TV, Waterloo Road, Series 9: Episode 20",12,"moderate language, violence, references to sex, suicide",Kaceys boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.,3.0,57 mins,3413,8pm 12 Mar 2014,Kacey's boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.,School-based drama. Kacey's boxing career is jeopardised when a challenge by Gabriella goes horribly wrong. Simon turns to Christine when he finds himself unable to cope.,Kacey's boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.Simon turns to Christine when he finds himself unable to cope with the challenges of Acting Head.,https://ichef.bbci.co.uk/images/ic/1200x675/p01thb59.jpg
93,From the Archives,Doctor Who - Series 11: 8. The Witchfinders,"BBC, iPlayer, TV, Doctor Who, Series 11: 8. The Witchfinders",12,mild threat,The Doctor and friends encounter a witch trial and King James I in the 17th century.,3.0,47 mins,2791,6:30pm 25 Nov 2018,The Doctor and friends encounter a witch trial and King James I in the 17th century.,"In 17th-century Lancashire, the Doctor, Yaz, Ryan and Graham become embroiled in a witch trial and the arrival of King James I.","The Doctor, Ryan, Graham and Yaz arrive in 17th-century Lancashire and become embroiled in a witch trial, run by the local landowner. As fear stalks the land, the arrival of King James I only serves to intensify the witch hunt. But is there something even more dangerous at work? Can the Doctor and friends keep the people of Bilehurst Cragg safe from all the forces that are massing in the land?",https://ichef.bbci.co.uk/images/ic/1200x675/p06sby6v.jpg
94,From the Archives,Waterloo Road - Series 3: Episode 11,"BBC, iPlayer, TV, Waterloo Road, Series 3: Episode 11",12,"moderate language, violence, references to sex, suicide","In an attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.",3.0,60 mins,3600,8pm 10 Jan 2008,"In an attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.","Drama series set in a secondary school. In a last-ditch attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.","Drama series set in a secondary school. In a last-ditch attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip. The teachers experience exam pressure for themselves. Tom hides his relationship with Davina from Chlo and Mika.",https://ichef.bbci.co.uk/images/ic/1200x675/p07lygz2.jpg
