userId,showId,rating,date_watched
sports_fan_1,134,3,2024-02-23 17:55:10.181891
sports_fan_1,226,5,2023-04-21 17:55:10.181983
sports_fan_1,224,4,2023-08-21 17:55:10.182056
sports_fan_1,140,1,2023-04-01 17:55:10.182125
sports_fan_1,121,5,2023-11-09 17:55:10.182191
sports_fan_1,123,2,2023-05-21 17:55:10.182256
sports_fan_1,221,5,2023-04-08 17:55:10.182320
sports_fan_1,224,4,2023-10-10 17:55:10.182429
sports_fan_1,217,3,2023-10-10 17:55:10.182492
sports_fan_1,122,1,2023-05-22 17:55:10.182554
sports_fan_1,228,5,2024-01-22 17:55:10.182617
sports_fan_1,120,4,2023-08-18 17:55:10.182723
sports_fan_1,234,2,2023-12-05 17:55:10.182784
sports_fan_2,149,5,2024-02-28 17:55:10.183677
sports_fan_2,125,5,2023-06-25 17:55:10.183759
sports_fan_2,121,3,2023-12-13 17:55:10.183831
sports_fan_2,143,4,2024-02-04 17:55:10.183898
sports_fan_2,206,3,2023-06-19 17:55:10.183963
sports_fan_2,191,1,2024-01-11 17:55:10.184074
sports_fan_3,53,5,2023-06-10 17:55:10.185505
sports_fan_3,108,2,2023-08-01 17:55:10.185595
sports_fan_3,138,2,2023-10-31 17:55:10.185889
sports_fan_4,129,4,2023-04-03 17:55:10.186989
sports_fan_4,135,4,2024-01-12 17:55:10.187079
sports_fan_4,179,3,2023-05-31 17:55:10.187152
sports_fan_4,183,2,2023-07-06 17:55:10.187220
sports_fan_4,117,3,2023-08-12 17:55:10.187287
sports_fan_4,120,5,2023-06-02 17:55:10.187351
sports_fan_4,124,3,2024-01-08 17:55:10.187415
sports_fan_5,134,4,2023-07-10 17:55:10.188542
sports_fan_5,134,5,2023-11-05 17:55:10.188624
sports_fan_5,104,3,2023-06-04 17:55:10.188746
sports_fan_5,33,2,2023-08-24 17:55:10.188812
sports_fan_5,133,3,2023-09-23 17:55:10.188895
sports_fan_5,126,5,2024-02-06 17:55:10.188998
sports_fan_5,93,1,2024-01-30 17:55:10.189058
sports_fan_5,55,2,2023-10-06 17:55:10.189117
sports_fan_5,26,1,2023-05-17 17:55:10.189175
sports_fan_5,61,4,2024-02-22 17:55:10.189235
sports_fan_5,63,3,2023-06-02 17:55:10.189293
sports_fan_6,120,2,2024-02-23 17:55:10.190622
sports_fan_6,232,2,2023-09-21 17:55:10.190706
sports_fan_6,129,2,2023-04-26 17:55:10.190775
sports_fan_6,116,2,2023-07-10 17:55:10.190839
sports_fan_6,228,1,2024-02-01 17:55:10.190901
sports_fan_6,134,3,2023-04-28 17:55:10.191005
sports_fan_6,134,2,2023-11-25 17:55:10.191108
sports_fan_6,139,5,2023-07-14 17:55:10.191167
sports_fan_7,95,5,2023-04-08 17:55:10.192264
sports_fan_7,126,3,2023-05-07 17:55:10.192345
sports_fan_7,91,2,2023-08-21 17:55:10.192413
sports_fan_7,93,3,2023-07-05 17:55:10.192478
sports_fan_7,138,2,2023-05-19 17:55:10.192540
sports_fan_8,5,1,2023-11-04 17:55:10.193394
sports_fan_8,5,3,2023-05-24 17:55:10.193468
sports_fan_8,183,1,2023-07-18 17:55:10.193533
sports_fan_8,173,1,2023-04-30 17:55:10.193637
sports_fan_8,176,2,2023-04-09 17:55:10.193696
sports_fan_8,137,5,2023-05-29 17:55:10.193755
sports_fan_9,103,3,2024-01-01 17:55:10.194550
sports_fan_9,175,5,2023-04-09 17:55:10.194624
sports_fan_9,129,1,2023-04-03 17:55:10.194689
sports_fan_9,124,2,2023-05-07 17:55:10.194750
sports_fan_9,138,2,2023-10-04 17:55:10.194809
sports_fan_9,108,1,2024-02-19 17:55:10.194867
sports_fan_9,95,5,2024-01-04 17:55:10.194966
sports_fan_9,108,1,2023-08-05 17:55:10.195024
sports_fan_10,108,5,2023-04-16 17:55:10.195758
sports_fan_10,131,3,2023-03-25 17:55:10.195829
sports_fan_10,112,2,2023-05-05 17:55:10.195891
sports_fan_10,108,4,2023-08-20 17:55:10.195951
sports_fan_10,120,4,2023-04-07 17:55:10.196088
sports_fan_10,93,3,2023-07-24 17:55:10.196185
sports_fan_10,109,4,2023-04-10 17:55:10.196242
sports_fan_10,118,3,2023-10-12 17:55:10.196311
sports_fan_10,103,5,2023-07-24 17:55:10.196364
sports_fan_10,117,1,2023-10-22 17:55:10.196417
sports_fan_10,113,3,2023-05-24 17:55:10.196470
sports_fan_10,94,1,2023-08-23 17:55:10.196523
sports_fan_11,117,4,2023-12-29 17:55:10.197239
sports_fan_11,52,4,2023-04-24 17:55:10.197308
sports_fan_11,30,3,2024-03-09 17:55:10.197369
sports_fan_11,128,2,2023-05-23 17:55:10.197426
sports_fan_11,137,5,2023-04-06 17:55:10.197483
sports_fan_11,45,5,2023-05-17 17:55:10.197537
sports_fan_11,208,2,2023-07-26 17:55:10.197590
sports_fan_11,124,4,2023-10-17 17:55:10.197683
sports_fan_11,129,3,2023-06-05 17:55:10.197736
sports_fan_11,120,1,2023-08-22 17:55:10.197790
sports_fan_11,199,5,2023-11-11 17:55:10.197845
sports_fan_11,210,4,2023-09-26 17:55:10.197937
sports_fan_12,183,2,2023-08-03 17:55:10.198682
sports_fan_12,128,2,2023-04-18 17:55:10.198746
sports_fan_12,166,1,2023-10-09 17:55:10.198805
sports_fan_12,85,1,2023-10-01 17:55:10.198937
sports_fan_12,80,5,2023-12-04 17:55:10.198996
sports_fan_13,126,1,2023-08-14 17:55:10.199783
sports_fan_13,119,3,2023-11-23 17:55:10.199853
sports_fan_13,1,4,2024-02-13 17:55:10.199915
sports_fan_13,132,1,2023-04-25 17:55:10.199971
sports_fan_13,18,4,2023-05-28 17:55:10.200026
sports_fan_13,123,4,2023-05-24 17:55:10.200080
sports_fan_13,15,5,2023-04-24 17:55:10.200132
sports_fan_13,132,3,2023-05-22 17:55:10.200184
sports_fan_13,123,1,2024-01-02 17:55:10.200236
sports_fan_13,123,3,2023-07-17 17:55:10.200301
sports_fan_13,25,1,2023-10-04 17:55:10.200350
sports_fan_13,15,4,2024-03-16 17:55:10.200403
sports_fan_13,22,5,2023-10-09 17:55:10.200453
sports_fan_13,121,2,2023-10-29 17:55:10.200540
sports_fan_14,128,3,2024-01-12 17:55:10.201210
sports_fan_14,39,4,2023-06-22 17:55:10.201289
sports_fan_14,60,2,2023-12-12 17:55:10.201346
sports_fan_14,46,3,2024-03-10 17:55:10.201399
sports_fan_14,6,4,2023-05-08 17:55:10.201450
sports_fan_14,61,3,2023-10-15 17:55:10.201507
sports_fan_14,29,4,2023-12-10 17:55:10.201557
sports_fan_14,139,2,2023-09-24 17:55:10.201607
sports_fan_14,37,2,2023-11-07 17:55:10.201657
sports_fan_14,7,5,2023-09-02 17:55:10.201706
sports_fan_14,12,3,2023-10-28 17:55:10.201754
sports_fan_14,54,1,2023-08-16 17:55:10.201803
sports_fan_14,133,4,2023-10-23 17:55:10.201852
sports_fan_14,46,1,2023-10-09 17:55:10.201901
sports_fan_15,138,2,2023-08-26 17:55:10.202583
sports_fan_15,122,5,2023-08-03 17:55:10.202645
sports_fan_15,2,4,2023-11-23 17:55:10.202699
sports_fan_15,122,5,2023-09-09 17:55:10.202822
sports_fan_16,212,1,2023-12-17 17:55:10.203507
sports_fan_16,126,2,2023-10-13 17:55:10.203571
sports_fan_16,103,5,2023-04-14 17:55:10.203697
sports_fan_16,99,3,2023-11-22 17:55:10.203749
sports_fan_17,132,5,2024-03-18 17:55:10.204405
sports_fan_17,132,3,2024-03-07 17:55:10.204469
sports_fan_17,136,5,2023-03-29 17:55:10.204523
sports_fan_17,140,5,2024-02-04 17:55:10.204576
sports_fan_17,9,2,2023-04-08 17:55:10.204625
sports_fan_17,21,2,2024-02-17 17:55:10.204675
sports_fan_17,122,2,2023-06-18 17:55:10.204723
sports_fan_17,120,5,2024-01-25 17:55:10.204771
sports_fan_17,2,1,2023-07-21 17:55:10.204817
sports_fan_17,2,5,2023-12-11 17:55:10.204863
sports_fan_18,116,3,2023-09-24 17:55:10.205542
sports_fan_18,29,5,2023-10-07 17:55:10.205604
sports_fan_18,132,2,2023-12-24 17:55:10.205657
sports_fan_18,123,1,2023-03-23 17:55:10.205707
sports_fan_18,133,2,2024-03-15 17:55:10.205754
sports_fan_18,64,3,2023-07-20 17:55:10.205801
sports_fan_18,49,4,2024-01-26 17:55:10.205848
sports_fan_18,36,2,2023-10-31 17:55:10.205895
sports_fan_18,139,4,2023-05-05 17:55:10.205941
sports_fan_19,64,1,2023-05-03 17:55:10.206595
sports_fan_19,118,2,2023-07-17 17:55:10.206654
sports_fan_19,41,4,2024-02-16 17:55:10.206707
sports_fan_19,124,4,2023-06-05 17:55:10.206757
sports_fan_19,125,4,2023-12-22 17:55:10.206806
sports_fan_20,122,1,2024-02-20 17:55:10.207423
sports_fan_20,120,3,2024-03-04 17:55:10.207491
sports_fan_20,209,3,2023-06-18 17:55:10.207580
sports_fan_20,139,1,2023-05-07 17:55:10.207663
sports_fan_20,200,4,2024-02-21 17:55:10.207743
sports_fan_20,164,1,2023-10-03 17:55:10.207789
sports_fan_20,122,2,2024-03-06 17:55:10.207835
sports_fan_20,122,4,2023-06-05 17:55:10.207880
sports_fan_20,132,1,2023-12-24 17:55:10.207926
sports_fan_20,135,3,2023-10-13 17:55:10.207971
sports_fan_21,136,4,2024-02-13 17:55:10.208634
sports_fan_21,119,5,2023-12-10 17:55:10.208697
sports_fan_21,124,1,2023-07-22 17:55:10.208870
sports_fan_21,206,4,2023-10-11 17:55:10.208972
sports_fan_21,138,4,2023-09-21 17:55:10.209026
sports_fan_21,205,1,2023-04-14 17:55:10.209075
sports_fan_21,196,5,2023-04-14 17:55:10.209123
sports_fan_21,191,5,2023-07-12 17:55:10.209169
sports_fan_22,13,3,2024-02-24 17:55:10.209891
sports_fan_22,4,5,2023-04-17 17:55:10.209944
sports_fan_22,84,3,2023-10-20 17:55:10.209993
sports_fan_22,24,5,2024-03-07 17:55:10.210039
sports_fan_22,123,2,2023-08-24 17:55:10.210085
sports_fan_23,82,4,2023-04-27 17:55:10.210681
sports_fan_23,177,2,2023-11-11 17:55:10.210740
sports_fan_23,171,4,2024-01-19 17:55:10.210792
sports_fan_23,139,1,2023-06-13 17:55:10.210841
sports_fan_23,172,4,2024-01-12 17:55:10.210888
sports_fan_24,121,3,2024-03-13 17:55:10.211580
sports_fan_24,131,1,2024-02-18 17:55:10.211678
sports_fan_24,233,4,2023-03-22 17:55:10.211728
sports_fan_24,239,5,2024-01-04 17:55:10.211774
sports_fan_24,227,5,2023-11-13 17:55:10.211820
sports_fan_25,137,3,2024-03-02 17:55:10.212476
sports_fan_25,128,4,2023-04-10 17:55:10.212536
sports_fan_25,136,1,2024-03-14 17:55:10.212588
sports_fan_25,122,3,2023-09-03 17:55:10.212637
sports_fan_25,138,3,2023-07-01 17:55:10.212780
sports_fan_26,132,2,2024-02-02 17:55:10.213799
sports_fan_26,132,4,2024-02-11 17:55:10.213972
sports_fan_26,58,3,2024-01-14 17:55:10.214060
sports_fan_26,54,2,2023-03-24 17:55:10.214138
sports_fan_26,50,2,2024-02-01 17:55:10.214249
sports_fan_27,205,3,2023-12-08 17:55:10.215023
sports_fan_27,190,5,2023-12-13 17:55:10.215085
sports_fan_27,204,3,2023-08-28 17:55:10.215137
sports_fan_27,200,4,2023-09-05 17:55:10.215187
sports_fan_27,198,4,2023-07-30 17:55:10.215235
sports_fan_27,188,3,2024-02-02 17:55:10.215281
sports_fan_27,130,4,2023-05-10 17:55:10.215326
sports_fan_28,133,2,2024-01-08 17:55:10.215966
sports_fan_28,143,1,2023-09-03 17:55:10.216026
sports_fan_28,138,1,2024-02-12 17:55:10.216077
sports_fan_28,150,4,2023-12-14 17:55:10.216161
sports_fan_28,141,1,2023-10-15 17:55:10.216209
sports_fan_28,104,5,2023-12-27 17:55:10.216328
sports_fan_28,93,1,2023-04-08 17:55:10.216449
